area,centre_count
Road C V Raman Nagar,1
Road Bns Layout,1
Road Bannerghatta Road,1
Road Agrahara Dasarahalli,1
Road Yelahanka New Town,1
Robertson Road Frazer Town,1
Shop. No- 125 Ganesh Nagar Vistar Jaipur Jhotwara,1
Royal Mart Building 2nd Floor Padmanabhanagar,1
Shirdi Sai Nagar-Munekollal,1
Sharada Nagar-Bikasipura,1
Seshadripuram,1
Seegehalli Road Chaitanya Ananya,1
Sector 12 Chopasni Housing Board,1
Sarvabhouma Nagar Bilekahalli,1
Sarjapur Road Attibele,1
Sarjapur Outer Ring Road Bellandur,1
Saraswathipuram Main Road Saraswathipuram,1
Sanjay Nagar Main Road Sanjay Nagar,1
Sanatana Eternal 1st Floor Himayat Nagar,1
Sair Bagh Cunningham Road,1
Sai Baba Temple Next Vidyaranyapura,1
Sahayadri Layout Sidedahalli,1
Sahakara Nagar,1
S Lachit Nagar Main Road,1
Rt Nagar Rt Nagar,1
Rs Garden Bommasandra,1
Rrmp Extension K H Road,1
Magadi Main Road Anjananagar,1
Kereguddadahalli,1
Lakshmi Srinivasa Complex Rt Nagar,1
B Block Sahakara Nagar,1
Bengaluru Cooke Town,1
Bellary Road Sadashivanagar,1
Begur Road,1
Begur Main Road Bommanahalli,1
Basti Gobindgarh Road Nanak Pura,1
Basaveshwaranagar Main Road Basaveshwara Nagar,1
Basavanagar Main Road Basava Nagar,1
Bannerghatta Road Bannerghatta Road,1
Bannerghatta Road Arekere Village,1
Bannerghatta Road Akshayanagar,1
Bannerghatta Main Road Bannerghatta Road,1
Bannerghatta Main Road BTM Layout 2nd Stage,1
Bangarappanagar Main Road Bangarappanagar,1
Banaswadi Main Road Banaswadi,1
Banaswadi,1
Banashankari 3rd Stage,1
Balaji Street Ramamurthy Nagar,1
Balaji Mandir Pally Sushmapally,1
Babusapalya,1
Bengaluru Jayanagar,1
Bengaluru Kalkere Bengaluru Dodda Kempaiah Layout,1
Between Jp Nagar 7th Phase,1
Chandra Layout Vijayanagar,1
Devarchikkanahalli Road Chikkanahalli Road,1
Dayanandasagar College Road Kumaraswamy Layout,1
Dasarakoppalu Circle Salagame Road,1
Dasarahalli Main Road Hebbal,1
Dasarahalli Hebbal,1
Cil Layout,1
Chikkalasandra Ramanjaneya Nagar,1
Channel Road Ck Road,1
CBI Road Rt Nagar,1
Bg Road Krishna Layout Extension,1
Btm 6th Stage Hulimavu,1
Brookfield Marathahalli,1
Brookefield,1
Brindavan Layout Road Horamavu,1
Bondir Wado Panaji Santa Cruz,1
Block C Sahakara Nagar,1
Bhootnath Road Chitragupta Nagar,1
Bhagwat Nagar Chauraha,1
B Wing 3rd Floor Patni Chowk,1
Ayyappa Nagar-Krishnarajapura,1
Laggere Main Road Laggere,1
Assaye Road,1
80 Feet Road Kathriguppe,1
